Id,ActivityHour,TotalIntensity,AverageIntensity
8583815059,2016-05-08,6,0.1
8583815059,2016-05-08,15,0.25
8583815059,2016-05-08,79,1.316667
8583815059,2016-05-08,83,1.383333
8583815059,2016-05-08,62,1.033333
8583815059,2016-05-08,11,0.183333
8583815059,2016-05-08,2,0.033333
8583815059,2016-05-08,0,0
8583815059,2016-05-08,9,0.15
8583815059,2016-05-08,38,0.633333
8583815059,2016-05-08,12,0.2
8583815059,2016-05-08,0,0
8583815059,2016-05-08,1,0.016667
8583815059,2016-05-08,4,0.066667
8583815059,2016-05-09,0,0
8583815059,2016-05-09,0,0
8583815059,2016-05-09,0,0
8583815059,2016-05-09,0,0
8583815059,2016-05-09,0,0
8583815059,2016-05-09,0,0
8583815059,2016-05-09,0,0
8583815059,2016-05-09,0,0
8583815059,2016-05-09,0,0
8583815059,2016-05-09,5,0.083333
8583815059,2016-05-09,0,0
8583815059,2016-05-09,5,0.083333
8583815059,2016-05-09,3,0.05
8583815059,2016-05-09,0,0
8583815059,2016-05-09,26,0.433333
8583815059,2016-05-09,176,2.933333
8583815059,2016-05-09,31,0.516667
8583815059,2016-05-09,0,0
8583815059,2016-05-09,1,0.016667
8583815059,2016-05-09,28,0.466667
8583815059,2016-05-09,25,0.416667
8583815059,2016-05-09,7,0.116667
8583815059,2016-05-09,8,0.133333
8583815059,2016-05-09,1,0.016667
8583815059,2016-05-10,11,0.183333
8583815059,2016-05-10,0,0
8583815059,2016-05-10,0,0
8583815059,2016-05-10,0,0
8583815059,2016-05-10,0,0
8583815059,2016-05-10,0,0
8583815059,2016-05-10,0,0
8583815059,2016-05-10,0,0
8583815059,2016-05-10,0,0
8583815059,2016-05-10,12,0.2
8583815059,2016-05-10,12,0.2
8583815059,2016-05-10,29,0.483333
8583815059,2016-05-10,82,1.366667
8583815059,2016-05-10,73,1.216667
8583815059,2016-05-10,18,0.3
8583815059,2016-05-10,0,0
8583815059,2016-05-10,3,0.05
8583815059,2016-05-10,1,0.016667
8583815059,2016-05-10,5,0.083333
8583815059,2016-05-10,13,0.216667
8583815059,2016-05-10,6,0.1
8583815059,2016-05-10,5,0.083333
8583815059,2016-05-10,2,0.033333
8583815059,2016-05-10,3,0.05
8583815059,2016-05-11,6,0.1
8583815059,2016-05-11,0,0
8583815059,2016-05-11,0,0
8583815059,2016-05-11,0,0
8583815059,2016-05-11,0,0
8583815059,2016-05-11,0,0
8583815059,2016-05-11,0,0
8583815059,2016-05-11,0,0
8583815059,2016-05-11,0,0
8583815059,2016-05-11,4,0.066667
8583815059,2016-05-11,0,0
8583815059,2016-05-11,6,0.1
8583815059,2016-05-11,20,0.333333
8583815059,2016-05-11,80,1.333333
8583815059,2016-05-11,97,1.616667
8583815059,2016-05-11,17,0.283333
8583815059,2016-05-11,38,0.633333
8583815059,2016-05-11,11,0.183333
8583815059,2016-05-11,8,0.133333
8583815059,2016-05-11,1,0.016667
8583815059,2016-05-11,29,0.483333
8583815059,2016-05-11,10,0.166667
8792009665,2016-04-12,0,0
8792009665,2016-04-12,0,0
8792009665,2016-04-12,3,0.05
8792009665,2016-04-12,0,0
8792009665,2016-04-12,0,0
8792009665,2016-04-12,0,0
8792009665,2016-04-12,0,0
8792009665,2016-04-12,0,0
8792009665,2016-04-12,3,0.05
8792009665,2016-04-12,0,0
8792009665,2016-04-12,6,0.1
8792009665,2016-04-12,3,0.05
