Id,ActivityHour,StepTotal
4445114986,2016-05-09,18
4445114986,2016-05-09,0
4445114986,2016-05-09,18
4445114986,2016-05-09,341
4445114986,2016-05-09,839
4445114986,2016-05-09,96
4445114986,2016-05-09,411
4445114986,2016-05-09,522
4445114986,2016-05-09,135
4445114986,2016-05-09,232
4445114986,2016-05-09,160
4445114986,2016-05-09,127
4445114986,2016-05-09,336
4445114986,2016-05-09,839
4445114986,2016-05-09,479
4445114986,2016-05-09,402
4445114986,2016-05-09,247
4445114986,2016-05-10,106
4445114986,2016-05-10,46
4445114986,2016-05-10,32
4445114986,2016-05-10,0
4445114986,2016-05-10,0
4445114986,2016-05-10,39
4445114986,2016-05-10,0
4445114986,2016-05-10,6
4445114986,2016-05-10,86
4445114986,2016-05-10,16
4445114986,2016-05-10,79
4445114986,2016-05-10,189
4445114986,2016-05-10,238
4445114986,2016-05-10,365
4445114986,2016-05-10,157
4445114986,2016-05-10,148
4445114986,2016-05-10,430
4445114986,2016-05-10,265
4445114986,2016-05-10,564
4445114986,2016-05-10,407
4445114986,2016-05-10,79
4445114986,2016-05-10,163
4445114986,2016-05-10,330
4445114986,2016-05-10,170
4445114986,2016-05-11,51
4445114986,2016-05-11,56
4445114986,2016-05-11,0
4445114986,2016-05-11,0
4445114986,2016-05-11,11
4445114986,2016-05-11,16
4445114986,2016-05-11,0
4445114986,2016-05-11,0
4445114986,2016-05-11,0
4445114986,2016-05-11,0
4445114986,2016-05-11,253
4445114986,2016-05-11,0
4445114986,2016-05-11,258
4445114986,2016-05-11,4379
4445114986,2016-05-11,890
4445114986,2016-05-11,79
4445114986,2016-05-11,339
4445114986,2016-05-11,214
4445114986,2016-05-11,318
4445114986,2016-05-11,445
4445114986,2016-05-11,487
4445114986,2016-05-11,389
4445114986,2016-05-11,188
4445114986,2016-05-11,732
4445114986,2016-05-12,0
4445114986,2016-05-12,11
4445114986,2016-05-12,0
4445114986,2016-05-12,8
4445114986,2016-05-12,29
4445114986,2016-05-12,0
4445114986,2016-05-12,0
4445114986,2016-05-12,16
4445114986,2016-05-12,0
4445114986,2016-05-12,0
4445114986,2016-05-12,180
4445114986,2016-05-12,142
4445114986,2016-05-12,98
4445114986,2016-05-12,51
4445114986,2016-05-12,152
